"","Borough","Category","StartDateTime","EventType","SubCategoryName","Month","Day","Year","Season"
"1","Manhattan","Television",2025-08-31 01:00:00,"Shooting Permit","News",8,31,2025,"Summer"
"2","Manhattan","Television",2025-08-30 01:00:00,"Shooting Permit","News",8,30,2025,"Summer"
"3","Queens","Television",2025-08-29 10:00:00,"Shooting Permit","Cable-episodic",8,29,2025,"Summer"
"4","Brooklyn","Commercial",2025-08-27 06:00:00,"Shooting Permit","Commercial",8,27,2025,"Summer"
"5","Brooklyn","Television",2025-08-28 07:00:00,"Shooting Permit","Cable-episodic",8,28,2025,"Summer"
"6","Queens","Film",2025-08-29 07:00:00,"Shooting Permit","Feature",8,29,2025,"Summer"
"7","Queens","Film",2025-08-28 07:00:00,"Shooting Permit","Feature",8,28,2025,"Summer"
"8","Queens","Television",2025-08-28 09:00:00,"Shooting Permit","Cable-episodic",8,28,2025,"Summer"
"9","Manhattan","Film",2025-08-29,"Shooting Permit","Feature",8,29,2025,"Summer"
"10","Queens","Film",2025-08-28 10:00:00,"Shooting Permit","Feature",8,28,2025,"Summer"
"11","Manhattan","Film",2025-08-28 06:00:00,"Shooting Permit","Feature",8,28,2025,"Summer"
"12","Manhattan","Commercial",2025-08-28 06:00:00,"Shooting Permit","Commercial",8,28,2025,"Summer"
"13","Queens","Film",2025-08-31 07:00:00,"Shooting Permit","Feature",8,31,2025,"Summer"
"14","Manhattan","Commercial",2025-08-27 06:00:00,"Shooting Permit","Commercial",8,27,2025,"Summer"
"15","Queens","Television",2025-08-27 08:00:00,"Shooting Permit","Cable-episodic",8,27,2025,"Summer"
"16","Manhattan","Commercial",2025-08-27 07:00:00,"Shooting Permit","Commercial",8,27,2025,"Summer"
"17","Bronx","Television",2025-08-27 08:00:00,"Shooting Permit","Episodic series",8,27,2025,"Summer"
"18","Manhattan","Film",2025-08-27 10:00:00,"Shooting Permit","Feature",8,27,2025,"Summer"
"19","Manhattan","Film",2025-08-26 12:30:00,"Shooting Permit","Feature",8,26,2025,"Summer"
"20","Queens","Television",2025-08-26 06:00:00,"Shooting Permit","Episodic series",8,26,2025,"Summer"
"21","Queens","Television",2025-08-25 06:00:00,"Shooting Permit","Episodic series",8,25,2025,"Summer"
"22","Brooklyn","Television",2025-08-27 06:00:00,"Shooting Permit","Cable-episodic",8,27,2025,"Summer"
"23","Queens","Film",2025-08-26 06:00:00,"Shooting Permit","Feature",8,26,2025,"Summer"
"24","Queens","Television",2025-08-26 06:00:00,"Shooting Permit","Cable-episodic",8,26,2025,"Summer"
"25","Manhattan","Television",2025-08-28 13:00:00,"Shooting Permit","Episodic series",8,28,2025,"Summer"
"26","Bronx","Television",2025-08-29 07:00:00,"Shooting Permit","Episodic series",8,29,2025,"Summer"
"27","Manhattan","Television",2025-08-26 09:00:00,"Shooting Permit","Cable-episodic",8,26,2025,"Summer"
